ID,H55933,R39465,R39465_,R85482,U14973,R02593,T51496,H80240,T65938,class
1,8589.416,5468.2407,4263.4077,4064.9358,1997.893,5282.325,2169.72,2773.4211,7526.386,0
2,9164.254,6719.5293,4883.4487,3718.159,2015.2214,5569.907,3849.0588,2793.3875,7017.734,1
3,3825.705,6970.3613,5369.9688,4705.65,1166.5536,1572.1678,1325.4025,1472.2587,3296.9512,0
4,6246.4487,7823.534,5955.835,3975.5642,2002.6132,2130.543,1531.1425,1714.6312,3869.785,1
5,3230.3286,3694.45,3400.74,3463.5857,2181.4202,2922.782,2069.2463,2948.575,3303.371,0
6,2510.325,1960.6545,1566.315,3072.8162,1810.2048,1673.5643,1290.4211,2465.8462,1675.5438,1
7,7126.5986,3779.068,3705.5537,6594.514,2460.9048,3775.6821,2621.4187,2047.2812,6411.2676,0
8,4028.71,3156.1592,2870.255,4417.5913,1854.106,2828.3037,1427.5262,3390.7063,4373.044,1
9,9330.679,7017.2295,4723.7827,9491.534,5346.5415,1557.143,1969.08,2295.4026,6880.346,0
10,5271.5176,4740.768,3318.5137,6792.348,2632.8894,5449.207,4623.2124,3277.4038,4488.06,1
11,14876.407,3201.9045,2327.6262,11248.68,5893.279,5319.857,9939.246,4058.6438,14144.835,0
12,14173.054,8411.861,6042.84,8766.047,3511.0845,4878.182,3391.875,2622.0076,10012.81,1
13,4469.09,5167.0566,4773.68,3330.3643,3174.2417,3643.6858,3886.4175,3922.9226,2968.0962,0
14,4985.2188,4735.793,4075.1226,2845.2483,2973.275,4219.4644,3556.88,3234.245,2824.7837,1
15,4913.799,5215.048,4288.616,3213.4304,3147.4023,4460.4463,2334.8086,3302.7625,3855.7712,0
16,5627.251,3619.5317,2606.5,2544.452,5967.086,7736.468,4633.865,1356.4513,2982.8826,1
17,7144.4062,2071.4023,1619.2762,2576.159,3401.15,2915.093,3361.535,2888.0613,6749.665,0
18,4865.22,3237.7773,2341.0862,2372.6804,3058.2715,1347.1321,1306.5725,3507.045,3917.266,1
19,5382.394,3848.443,3372.4888,4444.566,2464.9023,1304.5571,1062.6975,2903.325,4866.8086,0
20,4412.476,1752.3955,1280.3239,5200.3447,2369.0608,2047.95,2104.7588,2938.8674,2628.5938,1
21,7434.8213,6471.2114,5029.6177,4749.3286,1548.4774,7000.1284,3077.4111,3440.9138,5188.9214,0
22,6995.41,6658.109,5316.396,4047.5144,1656.006,6236.7534,4130.0425,3229.71,6939.0923,1
23,4214.9,2213.3567,1611.5188,1764.232,4374.78,4520.793,3982.795,3466.2888,2197.6338,0
24,1914.6775,2119.1113,1595.4088,1186.0304,2090.3882,1087.75,1248.1638,1895.095,1179.935,1
25,8865.459,5447.1865,4887.0576,3782.5945,3927.0107,6138.971,4379.595,5385.03,5130.4077,0
26,5934.8887,3744.9885,3528.8337,2721.7036,1556.619,3584.2393,3484.485,1385.9625,3634.3838,0
27,5821.6177,3748.2478,3439.9539,2502.966,1549.6049,4155.7144,3703.2224,1300.3774,4139.286,0
28,9767.027,9785.775,8605.044,4941.2393,3581.5977,7265.1143,6498.42,3870.2976,6936.536,0
29,13324.729,9505.034,7740.9873,7982.8105,2544.9346,10163.293,9611.041,2346.1562,8642.836,0
30,12977.712,7565.6157,5735.2,6911.68,3095.9333,8961.293,6641.795,2801.86,9363.434,0
31,8753.239,8978.134,7777.8413,6202.4966,4271.412,8248.879,5514.2373,3681.185,7043.5913,0
32,5012.02,1383.4886,1269.6487,3168.7124,1945.4929,2726.8037,3300.5938,1672.86,4185.6226,0
33,6904.8013,2260.7773,1987.0012,3439.4106,2878.9202,5887.2144,3652.94,2524.504,4209.1123,0
34,8347.983,9852.298,8178.965,4467.502,3388.4463,5632.5605,3754.515,4869.556,5019.0537,0
35,5100.536,3343.3206,2925.67,2914.1946,1481.2227,3697.9463,2080.275,1638.045,3763.1375,0
36,4554.576,3139.3113,2958.4026,1658.3071,3196.5332,2280.4106,2132.3125,3104.621,2958.9875,0
37,5466.93,10152.273,7760.9175,7258.25,1469.6906,5695.6465,4662.855,2949.1812,6223.86,0
38,4201.5073,2425.6272,2228.8174,1503.6053,3804.5332,3591.25,4028.5886,2794.085,2683.025,0
39,3656.7837,5082.857,4101.9175,1365.7,1980.2333,4883.893,2925.7375,2061.4126,1482.9713,1
40,9128.119,5502.716,4590.134,3234.4019,3978.5452,7676.7144,4644.3887,2518.6975,5460.936,0
41,3799.0889,5665.7793,5157.0674,1359.7911,1872.6451,2218.1035,1395.0525,1683.7775,2430.015,0
42,6194.245,5202,4079.6338,3951.1982,2382.2214,1949.1643,1909.0975,3415.1038,3965.97,1
43,11447.631,3529.1272,2920.8413,5445.8623,2699.262,6637.8145,4903.8965,3411.6025,2534.9038,1
44,14641.931,3377.3933,3048.4326,5401.2266,4734.299,5167.375,4434.3286,4553.245,9515.121,0
45,9443.878,6671.7773,6260.616,4905.709,3139.2488,10926.218,7376.85,3245.2512,6518.7363,0
46,14368.276,3651.991,3302.9275,5738.486,5115.913,4890.7856,5008.3286,5643.7812,6013.951,0
47,6951.354,5565.7773,4480.785,3667.6465,4278.6167,7568.9287,6299.3613,5174.0913,4038.185,0
48,6302.7764,4127.4976,3635.695,2604.7412,1796.4321,2736.157,3648.1038,2414.6438,3182.255,1
49,6357.9214,3736.8455,2665.5913,2493.875,1306.2476,4092.718,3163.855,1077.6162,3865.8086,0
50,7121.174,5346.6475,4254.1177,3399.709,4017.038,7158.918,5059.195,2970.6362,5341.0073,1
51,6870.3223,4751.761,4102.345,3182.0037,3193.6594,7264.9927,3777.5024,2669.4326,4191.89,1
52,11605.972,8278.918,7316.104,3602.3518,8093.875,6572.75,4314.9814,5917.0264,7675.28,0
53,7666.675,6409.739,6489.864,2451.118,4176.212,4654.6357,2321.5225,3520.3162,4477.451,0
54,4177.2837,4984.0977,4585.899,3165.1555,3051.5571,3404.4,2389.89,3228.6475,2292.2087,1
55,5777.174,3387.8933,2413.6526,2843.2625,1467.0393,1928.775,2793.6138,1844.9625,3297.4011,1
56,4527.004,2912.307,2124.9888,2609.05,2077.968,2888.5642,2661.26,1842.1538,995.79,0
57,4653.2373,6251.5566,4947.1226,3763.5464,2737.1606,2792.532,2005.7125,2201.1775,2919.9187,0
58,4972.166,4173.918,3668.5337,1567.5554,1570.4406,3466.8108,2106.4988,1535.7574,1887.6212,0
59,9112.372,6824.4863,5982.846,3147.043,4847.308,11222.682,6333.4727,4299.5024,4644.4424,0
60,6730.625,3472.125,2559.4624,2624.6892,1596.2179,4372.789,3798.5261,1026.4775,3512.3337,1
61,6234.6226,4005.3,3093.675,3183.0857,1795.3107,3940.8464,2019.85,1406.65,2927.7937,0
62,7472.01,3653.934,2728.2163,3494.4805,2404.6655,5791.607,2876.4211,2150.9587,3767.0024,1
